"uid","scenario_id","t","routed_agent","route_reason","route_forced","route_invalid","routing_hit","is_decision_maker","valid_actions","executed_action","fact_id","invalid_reason","agent_response","agent_raw","insight","revealed_after"
"3","toma_butera_2009","2","A4","","0","0","1","0","free|reveal","reveal","PF3","","The guilty person is a man. His father is indirectly responsible for the accident. The guilty person was driving at 110 km/h.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""The guilty person is a man. His father is indirectly responsible for the accident. The guilty person was driving at 110 km/h.""}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer: What is the primary suspect?; credited_facts: What facts support the suspect?; justification_fact_ids: What facts justify the suspect? NEXT: Determine the primary suspect and supporting facts.","PF1|PF2|PF3"
"3","toma_butera_2009","3","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Mr. X's son"", ""credited_facts"": [""PF1"", ""PF2"", ""PF3""], ""justification_fact_ids"": [""PF1"", ""PF2"", ""PF3""]}}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Mr. X's son"", ""credited_facts"": [""PF1"", ""PF2"", ""PF3""], ""justification_fact_ids"": [""PF1"", ""PF2"", ""PF3""]}}}","SETTLED VALUES: answer: UNKNOWN; credited_facts: []; justification_fact_ids: []. STILL OPEN: answer: What is the primary suspect?; credited_facts: What facts support the suspect?; justification_fact_ids: What facts justify the suspect? NEXT: Determine the primary suspect and supporting facts.","PF1|PF2|PF3"
"4","baker_2010","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","Stevens left the dean position at the Mississippi University before raising any funds for the building campaign. As provost, Stevens teaches a class per year. Stevens' spouse has a PhD in Spanish and teaches a class or two at the college level. Roberts has made numerous influential contacts as a senator. Roberts frequently volunteers for two highly respected nonprofit organizations, one that provides affordable housing and another concerned with advancing human rights. Roberts is a vegetarian. Jones already lives in the area. Jones is married with a grown child. Sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""Stevens left the dean position at the Mississippi University before raising any funds for the building campaign. As provost, Stevens teaches a class per year. Stevens' spouse has a PhD in Spanish and teaches a class or two at the college level. Roberts has made numerous influential contacts as a senator. Roberts frequently volunteers for two highly respected nonprofit organizations, one that provides affordable housing and another concerned with advancing human rights. Roberts is a vegetarian. Jones already lives in the area. Jones is married with a grown child. Sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style.""}","SETTLED VALUES: Academic scholarship and teaching experience: Stevens. Leadership in academic setting: Stevens. Commitment to diversity: Stevens. Fundraising: Stevens. Promotion: Stevens. Quality of life: Stevens. New technologies: Stevens. STILL OPEN: Leadership in academic setting (Roberts). Shared governance (Jones). NEXT: Determine if Roberts has leadership in academic setting and if Jones has shared governance.","PF1"
"4","baker_2010","1","A3","","0","0","1","0","free|reveal","reveal","PF2","","Stevens tends to discourage new, innovative ideas. Roberts is described as a thoughtful leader and good listener by previous faculty members. Jones has two dogs and two cats.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""Stevens tends to discourage new, innovative ideas. Roberts is described as a thoughtful leader and good listener by previous faculty members. Jones has two dogs and two cats.""}","SETTLED VALUES: Academic scholarship and teaching experience: Stevens. Leadership in academic setting: Stevens. Commitment to diversity: Stevens. Fundraising: Stevens. Promotion: Stevens. Quality of life: Stevens. STILL OPEN: Leadership in academic setting (Roberts). Shared governance (Jones). NEXT: Determine if Roberts has leadership in academic setting and if Jones has shared governance.","PF1|PF2"
"4","baker_2010","2","A4","","0","0","1","0","free|reveal","reveal","PF3","","Stevens left the dean position at Mississippi University before raising any funds for the building campaign. Enjoys sports, goes to football and basketball games. Stays fit by biking and running. Has been observed drinking heavily in public, including at university events. Roberts' previous students and faculty say Roberts is an excellent teacher. Is divorced and remarried; has two children. Faculty research productivity increased while serving as dean in Georgia. Jones' sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style. Plays bridge as a hobby. Enjoys traveling overseas on vacation. Feedback from other trustees indicates tension between the current provost and Jones.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""Stevens left the dean position at Mississippi University before raising any funds for the building campaign. Enjoys sports, goes to football and basketball games. Stays fit by biking and running. Has been observed drinking heavily in public, including at university events. Roberts' previous students and faculty say Roberts is an excellent teacher. Is divorced and remarried; has two children. Faculty research productivity increased while serving as dean in Georgia. Jones' sources at the law firm attribute a high turnover rate at the firm to Jones' somewhat abrasive leadership style. Plays bridge as a hobby. Enjoys traveling overseas on vacation. Feedback from other trustees indicates tension between the current provost and Jones.""}","SETTLED VALUES: Academic scholarship and teaching experience: Stevens. Leadership in academic setting: Stevens. Commitment to diversity: Stevens. Fundraising: Stevens. Promotion: Stevens. Quality of life: Stevens. STILL OPEN: Leadership in academic setting (Roberts). Shared governance (Jones). NEXT: Determine if Roberts has leadership in academic setting and if Jones has shared governance.","PF1|PF2|PF3"
"4","baker_2010","3","A5","","0","0","1","0","free|reveal","reveal","PF4","","Stevens tends to discourage new, innovative ideas. Has family in Atlanta. Is married with three children. Roberts enjoys golf and tennis. Is divorced and remarried; has two children. Increased the diversity of the faculty when dean in Georgia. Instrumental in securing a multimillion dollar federal grant for a Georgia based nonprofit institution. Jones feedback from other trustees indicates tension between the current provost and Jones. Law partners say Jones is a strategic thinker with respect to the direction of the firm. Reads mystery novels and biographies. Loves to cook.","{""action"": ""reveal"", ""fact_id"": ""PF4"", ""content"": ""Stevens tends to discourage new, innovative ideas. Has family in Atlanta. Is married with three children. Roberts enjoys golf and tennis. Is divorced and remarried; has two children. Increased the diversity of the faculty when dean in Georgia. Instrumental in securing a multimillion dollar federal grant for a Georgia based nonprofit institution. Jones feedback from other trustees indicates tension between the current provost and Jones. Law partners say Jones is a strategic thinker with respect to the direction of the firm. Reads mystery novels and biographies. Loves to cook.""}","SETTLED VALUES: Academic scholarship and teaching experience: Stevens. Leadership in academic setting: Stevens. Commitment to diversity: Stevens. Fundraising: Stevens. Promotion: Stevens. Quality of life: Stevens. STILL OPEN: Leadership in academic setting (Roberts). Shared governance (Jones). NEXT: Determine if Roberts has leadership in academic setting and if Jones has shared governance.","PF1|PF2|PF3|PF4"
"4","baker_2010","4","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Stevens""}, ""credited_facts"": [""S1"", ""S4"", ""PF1"", ""PF2"", ""PF3"", ""PF4""], ""justification_fact_ids"": [""S1"", ""S4"", ""PF1"", ""PF2"", ""PF3"", ""PF4""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Stevens""}, ""credited_facts"": [""S1"", ""S4"", ""PF1"", ""PF2"", ""PF3"", ""PF4""], ""justification_fact_ids"": [""S1"", ""S4"", ""PF1"", ""PF2"", ""PF3"", ""PF4""]}}","SETTLED VALUES: Academic scholarship and teaching experience: Stevens. Leadership in academic setting: Stevens. Commitment to diversity: Stevens. Fundraising: Stevens. Promotion: Stevens. Quality of life: Stevens. STILL OPEN: Leadership in academic setting (Roberts). Shared governance (Jones). NEXT: Determine if Roberts has leadership in academic setting and if Jones has shared governance.","PF1|PF2|PF3|PF4"
"5","schulz_hardt_mojzisch_2012","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","Candidate A is sometimes not good at taking criticism and can be unorganised. Candidate B can be grumpy and uncooperative. Candidate C can make correct decisions quickly and handles stress very well. Candidate D is regarded as arrogant and has relatively weak leadership skills.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""Candidate A is sometimes not good at taking criticism and can be unorganised. Candidate B can be grumpy and uncooperative. Candidate C can make correct decisions quickly and handles stress very well. Candidate D is regarded as arrogant and has relatively weak leadership skills.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer, what is the best candidate for long-distance flights? NEXT: Determine which candidate best fits the role of a long-distance pilot based on the given traits.","PF1"
"5","schulz_hardt_mojzisch_2012","1","A3","","0","0","1","0","free|reveal","reveal","PF2","","Candidate A is regarded as a show-off and is not open to new ideas. Candidate B has a relatively weak memory for numbers and makes nasty remarks about his colleagues. Candidate C creates a positive atmosphere with his crew and is very conscientious. Candidate D is regarded as a 'know-it-all' and has a hot temper.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""Candidate A is regarded as a show-off and is not open to new ideas. Candidate B has a relatively weak memory for numbers and makes nasty remarks about his colleagues. Candidate C creates a positive atmosphere with his crew and is very conscientious. Candidate D is regarded as a 'know-it-all' and has a hot temper.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer, what is the best candidate for long-distance flights? NEXT: Determine which candidate best fits the role of a long-distance pilot based on the given traits.","PF1|PF2"
"5","schulz_hardt_mojzisch_2012","2","A4","","0","0","1","0","free|reveal","reveal","PF3","","Candidate A is unfriendly and eats unhealthily. Candidate B is regarded as pretentious and sometimes adopts the wrong tone when communicating. Candidate C understands complicated technology, puts concern for others above everything, and has excellent attention skills. Candidate D is considered moody and is regarded as a loner.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""Candidate A is unfriendly and eats unhealthily. Candidate B is regarded as pretentious and sometimes adopts the wrong tone when communicating. Candidate C understands complicated technology, puts concern for others above everything, and has excellent attention skills. Candidate D is considered moody and is regarded as a loner.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer, what is the best candidate for long-distance flights? NEXT: Determine which candidate best fits the role of a long-distance pilot based on the given traits.","PF1|PF2|PF3"
"5","schulz_hardt_mojzisch_2012","3","A1","record complete -> last call","1","0","0","1","free|settle","INVALID","","unknown action None","","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Candidate C"", ""credited_facts"": [""S3"", ""PF1"", ""PF2"", ""PF3""], ""justification_fact_ids"": [""S3"", ""PF1"", ""PF2"", ""PF3""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer, what is the best candidate for long-distance flights? NEXT: Determine which candidate best fits the role of a long-distance pilot based on the given traits.","PF1|PF2|PF3"
"5","schulz_hardt_mojzisch_2012","4","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Candidate C"", ""credited_facts"": [""S3"", ""PF1"", ""PF2"", ""PF3""], ""justification_fact_ids"": [""S3"", ""PF1"", ""PF2"", ""PF3""]}}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Candidate C"", ""credited_facts"": [""S3"", ""PF1"", ""PF2"", ""PF3""], ""justification_fact_ids"": [""S3"", ""PF1"", ""PF2"", ""PF3""]}}}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer, what is the best candidate for long-distance flights? NEXT: Determine which candidate best fits the role of a long-distance pilot based on the given traits.","PF1|PF2|PF3"
"6","graetz_et_al_1998","0","A2","","0","0","1","0","free|reveal","reveal","PF1","","Franklin Enterprises does not meet criterion (b), Starlight Incorporated meets criterion (b) and (d), and Cape Industries meets criterion (a), (b), (d), (e), (i), and (j) but does not meet criterion (f).","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""Franklin Enterprises does not meet criterion (b), Starlight Incorporated meets criterion (b) and (d), and Cape Industries meets criterion (a), (b), (d), (e), (i), and (j) but does not meet criterion (f).""}","SETTLED VALUES: (d) Y, (e) Y, (f) Y, (g) Y, (h) Y, (i) N, (j) N, (a) N, (c) N, (g) N. STILL OPEN: (a) N, (c) N, (g) N. What is the status of (a), (c), and (g) for each proposal? NEXT: Determine the status of (a), (c), and (g) for all proposals.","PF1"
"6","graetz_et_al_1998","1","A3","","0","0","1","0","free|reveal","reveal","PF2","","Franklin Enterprises does not meet criterion (a) and (c), Starlight Incorporated meets criterion (e) and (h), and Cape Industries meets criterion (a), (b), (c), (h), and (j) but does not meet criterion (f) and (h)","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""Franklin Enterprises does not meet criterion (a) and (c), Starlight Incorporated meets criterion (e) and (h), and Cape Industries meets criterion (a), (b), (c), (h), and (j) but does not meet criterion (f) and (h)""}","SETTLED VALUES: (d) Y, (e) Y, (f) Y, (g) Y, (h) Y, (i) N, (j) N, (a) N, (c) N, (g) N. STILL OPEN: (a) N, (c) N, (g) N. What is the status of (a), (c), and (g) for each proposal? NEXT: Determine the status of (a), (c), and (g) for all proposals.","PF1|PF2"
"6","graetz_et_al_1998","2","A4","","0","0","1","0","free|reveal","reveal","PF3","","Franklin Enterprises does not meet criterion (a) and (c), Starlight Incorporated meets criterion (f) and (i), and Cape Industries does not meet criterion (b) but meets criterion (c), (d), and (i)","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""Franklin Enterprises does not meet criterion (a) and (c), Starlight Incorporated meets criterion (f) and (i), and Cape Industries does not meet criterion (b) but meets criterion (c), (d), and (i)""}","SETTLED VALUES: (a) N, (c) N, (g) N. STILL OPEN: (a) N, (c) N, (g) N. What is the status of (a), (c), and (g) for each proposal? NEXT: Determine the status of (a), (c), and (g) for all proposals.","PF1|PF2|PF3"
"6","graetz_et_al_1998","3","A5","","0","0","1","0","free|reveal","reveal","PF4","","Franklin Enterprises does not meet criterion (a) and (b), Starlight Incorporated meets criterion (g) and (j), and Cape Industries meets criterion (c), (d), (e), (i), and (j) but does not meet criterion (h)","{""action"": ""reveal"", ""fact_id"": ""PF4"", ""content"": ""Franklin Enterprises does not meet criterion (a) and (b), Starlight Incorporated meets criterion (g) and (j), and Cape Industries meets criterion (c), (d), (e), (i), and (j) but does not meet criterion (h)""}","SETTLED VALUES: (a) N, (c) N, (g) N. STILL OPEN: (a) N, (c) N, (g) N. What is the status of (a), (c), and (g) for each proposal? NEXT: Determine the status of (a), (c), and (g) for all proposals.","PF1|PF2|PF3|PF4"
"6","graetz_et_al_1998","4","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Starlight Incorporated""}, ""credited_facts"": [""PF1"", ""PF2"", ""PF3"", ""PF4""], ""justification_fact_ids"": [""PF4""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Starlight Incorporated""}, ""credited_facts"": [""PF1"", ""PF2"", ""PF3"", ""PF4""], ""justification_fact_ids"": [""PF4""]}}","SETTLED VALUES: (a) N, (c) N, (g) N. STILL OPEN: (a) N, (c) N, (g) N. What is the status of (a), (c), and (g) for each proposal? NEXT: Determine the status of (a), (c), and (g) for all proposals.","PF1|PF2|PF3|PF4"
"7","Stasser_Stewart_1992","0","A3","","0","0","1","0","free|reveal","reveal","PF2","","Billy borrowed some money from Guion two days before. Nobody actually witnessed Eddie working that morning. It takes more than 15 minutes to drive directly from the café to the golf course, without passing by Guion's house, and Guion's house is actually in the opposite direction.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""Billy borrowed some money from Guion two days before. Nobody actually witnessed Eddie working that morning. It takes more than 15 minutes to drive directly from the café to the golf course, without passing by Guion's house, and Guion's house is actually in the opposite direction.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [], justification_fact_ids: []. STILL OPEN: answer: Who is the killer? What is the motive? NEXT: Determine the killer's alibi and the crowbar's ownership.","PF2"
"7","Stasser_Stewart_1992","1","A4","","0","0","1","0","free|reveal","reveal","PF3","","Billy needed some money for some purposes a week before. A golfing friend remembered seeing Mickey at the golf course sometime after 7:00 AM. Guion had recently fired Eddie's daughter after insulting her, which left Eddie furious, according to another employee.","{""action"": ""reveal"", ""fact_id"": ""PF3"", ""content"": ""Billy needed some money for some purposes a week before. A golfing friend remembered seeing Mickey at the golf course sometime after 7:00 AM. Guion had recently fired Eddie's daughter after insulting her, which left Eddie furious, according to another employee.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [PF2, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer: Who is the killer? What is the motive? NEXT: Determine the killer's alibi and the crowbar's ownership.","PF2|PF3"
"7","Stasser_Stewart_1992","2","A2","","0","0","1","0","free|reveal","reveal","PF1","","Eddie is hard of hearing and never wears his hearing aid while working at Guion's. Security footage shows Mickey entering the café at 6:30 and leaving at 6:45 AM. Billy admitted touching the crowbar when he found it.","{""action"": ""reveal"", ""fact_id"": ""PF1"", ""content"": ""Eddie is hard of hearing and never wears his hearing aid while working at Guion's. Security footage shows Mickey entering the café at 6:30 and leaving at 6:45 AM. Billy admitted touching the crowbar when he found it.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [PF2, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer: Who is the killer? What is the motive? NEXT: Determine the killer's alibi and the crowbar's ownership.","PF1|PF2|PF3"
"7","Stasser_Stewart_1992","3","A1","record complete -> last call","1","0","0","1","free|settle","settle","","","{""decisions"": {""answer"": ""Billy Prentice""}, ""credited_facts"": [""PF2"", ""PF1""], ""justification_fact_ids"": [""PF2""]}","{""action"": ""settle"", ""settlement"": {""decisions"": {""answer"": ""Billy Prentice""}, ""credited_facts"": [""PF2"", ""PF1""], ""justification_fact_ids"": [""PF2""]}}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [PF2, PF3], justification_fact_ids: [PF3]. STILL OPEN: answer: Who is the killer? What is the motive? NEXT: Determine the killer's alibi and the crowbar's ownership.","PF1|PF2|PF3"
"8","critical_hospital_transfer","0","A3","","0","0","1","0","free|reveal","reveal","PF2","","A police alert reported a landslide blocking the last stretch of the main road to Hospital B this morning—traffic is completely halted for at least 24 hours.","{""action"": ""reveal"", ""fact_id"": ""PF2"", ""content"": ""A police alert reported a landslide blocking the last stretch of the main road to Hospital B this morning—traffic is completely halted for at least 24 hours.""}","SETTLED VALUES: answer: UNKNOWN, credited_facts: [PF2], justification_fact_ids: [PF2]. STILL OPEN: answer, justification_fact_ids. NEXT: Determine which hospital has the safest route and the most reliable ICU.","PF2"
